[2026-06-20T10:02:07.997Z] GET https://apple.com/ → 301 (103ms, 304B)
[2026-06-20T10:02:08.101Z] GET https://www.apple.com/ → 200 (41ms, 45786B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/api-www/global-elements/global-header/v1/assets/globalheader.css → 200 (30ms, 15921B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/ac/globalfooter/8/en_US/styles/ac-globalfooter.built.css → 200 (31ms, 7282B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/ac/localnav/9/styles/ac-localnav.built.css → 200 (30ms, 8446B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/wss/fonts?families=SF+Pro,v3|SF+Pro+Icons,v3 → 200 (27ms, 1963B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/v/home/a/styles/main.built.css → 200 (47ms, 13933B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/v/home/a/styles/home.built.css → 200 (31ms, 4528B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/v/home/a/built/styles/home-gallery.built.css → 200 (44ms, 20211B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/v/home/a/styles/inline-media.built.css → 200 (31ms, 3399B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/home/built/styles/home_57u3e6q9.built.css → 200 (46ms, 3314B)
[2026-06-20T10:02:08.245Z] GET https://www.apple.com/v/home/a/scripts/head.built.js → 200 (49ms, 3606B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/api-www/global-elements/global-header/v1/assets/globalheader.umd.js → 200 (45ms, 164906B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/metrics/ac-analytics/2.30.0/scripts/ac-analytics.js → 200 (299ms, ?B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/metrics/ac-analytics/2.30.0/scripts/auto-init.js → 200 (45ms, 849B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/v/home/images/fathers-day-2026/a/hero_fd26_startframe__9cmey4u4wuay_large.jpg → 200 (44ms, 54137B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/v/home/images/fathers-day-2026/a/hero_fd26__c9vr0hxu24eq_large.jpg → 200 (44ms, 189541B)
[2026-06-20T10:02:08.248Z] GET https://www.apple.com/v/home/images/fathers-day-2026/a/stars/star01__bx1epqccfyb6_large.png → 200 (79ms, 3379B)
[2026-06-20T10:02:08.251Z] GET https://www.apple.com/v/home/images/fathers-day-2026/a/stars/star02__bpdn0668cgaa_large.png → 200 (77ms, 1849B)
